YEAR,SIZE,ARINV,CATA,CR,ROA,LEV,LOSS,EMPLOY,BIG4,CHANT,OP,DELAY,LNFEE,EXPECTED,ABFEE
0,24.93810574,0.116906429,0.687406702,2.250163284,0.028646214,0.526364135,0,89.05616206,1,0,1,10.44030651,2850000,4784303.891,-1934303.891
0,26.42836199,0.006471586,0.164273822,0.743597293,0.010506609,0.882108766,0,28.28427125,0,0,1,10.63014581,3100000,1240741.334,1859258.666
0,20.66433557,0.007987489,0.719488059,17.20550321,0.031568091,0.042376864,0,7.937253933,0,0,1,8.831760866,680000,198042.0121,481957.9879
0,23.03543788,0.007515611,0.552701868,1.063432924,0.029309721,0.572341034,0,96.16652224,1,0,1,10.44030651,970000,4612787.177,-3642787.177
0,23.7837751,0.08138955,0.916889483,1.493126567,0.080063106,0.614859135,0,99.44847912,0,0,1,8.246211251,2400000,3001492.48,-601492.48
0,22.14791803,0.003021422,0.539932303,1.190641763,0.035487723,0.470669393,0,62.12889827,0,0,1,10.09950494,750000,1531597.892,-781597.892
0,22.54460534,0.021809904,0.229279629,0.442085059,0.013821937,0.550183456,0,68.29348432,0,0,1,7.549834435,550000,1888229.688,-1338229.688
0,23.11387096,0.035427412,0.491499905,0.780774208,0.022827219,0.686655607,0,53.5817133,0,0,1,8.888194417,1400000,1401541.55,-1541.55
0,24.20608262,0.00787586,0.251017602,0.319557192,-0.158127247,0.951838094,1,99.35290635,1,0,0,10.48808848,0,5175116.261,-5175116.261
0,23.23902737,0.040782561,0.778952436,3.948566321,0.165157551,0.202368837,0,69.4046108,0,0,1,8.544003745,800000,1926742.179,-1126742.179
0,24.63067874,0.291058078,0.726932049,1.730681081,0.020670317,0.516661189,0,116.7047557,0,0,1,10.77032961,1870000,3965824.279,-2095824.279
0,22.95664658,0.000188322,0.098715494,0.496880614,0.059322293,0.423948071,0,17.74823935,0,0,1,10.77032961,2800000,176769.6311,2623230.369
0,22.92354927,0.004883836,0.343767167,0.674273747,-0.007831054,0.676985314,1,72.09022125,0,0,1,10.72380529,800000,1971560.616,-1171560.616
0,23.52803826,0.005606782,0.149829799,1.200401895,0.103503666,0.427832089,0,46.80811895,0,0,1,9.273618495,1500000,1266303.13,233696.87
0,21.57179621,0.001770009,0.1063346,0.418470771,0.028261364,0.331729428,0,34.20526275,0,0,1,9.433981132,580000,536264.2229,43735.7771
0,25.38316183,0.034706388,0.467859785,0.863212451,0.035587782,0.713380819,0,116.5289664,0,0,1,9.273618495,3200000,4055348.762,-855348.762
0,23.59268463,0.274533535,0.822834028,1.334826976,0.032783565,0.769372004,0,91.89668112,0,0,1,10.63014581,1075000,2782317.34,-1707317.34
0,23.61474408,0.000518953,0.274267716,0.536386846,0.06888706,0.601671487,0,107.1540946,0,0,1,10.81665383,1500000,3370951.982,-1870951.982
0,20.06564083,0.004585241,0.421816146,0.589251426,-0.163630518,0.715850869,1,13.85640646,0,0,1,9.327379053,600000,-434661.5353,1034661.535
0,21.09383451,0.001937076,0.658007136,17.14982824,-0.000206909,0.038413323,1,34.16138171,0,0,1,10.44030651,1400000,1145681.425,254318.575
0,19.81884433,0.012885551,0.587930062,0.944433146,-0.089553735,0.68270825,1,11.95826074,0,0,0,10.81665383,600000,-614246.7165,1214246.717
0,22.52866254,0.01235784,0.635555864,1.164639166,0.034311595,0.572466573,0,54.47935389,0,0,1,10.04987562,1500000,1298965.919,201034.081
0,21.65833017,0.003677084,0.585722587,1.080882519,-0.186629608,0.57663011,1,40.62019202,0,0,0,10.81665383,1200000,934863.2201,265136.7799
0,22.50079127,0.060034328,0.175874909,1.121347904,0.028041641,0.477612787,0,45.84757355,0,0,1,8.660254038,1420000,1131793.74,288206.26
0,19.53497436,0.18089433,0.775196981,0.897441392,0.040605775,0.888113787,0,8.366600265,0,0,1,10.24695077,800000,-1012841.831,1812841.831
0,21.12924707,0.003951924,0.312182931,0.786194958,0.02817748,0.416091986,0,50.36864104,0,0,1,9.591663047,600000,971798.2792,-371798.2792
0,21.91220342,0.103767264,0.879266168,1.299265419,0.019619082,0.707073911,0,13.37908816,0,0,0,10.77032961,1500000,-246908.6804,1746908.68
0,23.48944221,0.085343825,0.71393005,2.573064836,0.282285721,0.293381945,0,83.4445924,0,0,1,9.055385138,2000000,2222156.174,-222156.174
0,22.56494948,0.001502794,0.760460684,3.49682194,0.015615779,0.451932518,0,26.47640459,0,0,1,8.185352772,700000,455227.7719,244772.2281
0,22.48673388,0.010927672,0.361956504,1.02108805,0.033738075,0.377533773,0,61.02458521,0,0,1,9.433981132,550000,1613383.273,-1063383.273
